3
1 1 n n n n n n n N n n n n n n n 1 1 1
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1
w 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 e
w 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 e
W 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 e
1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 E
1 1 0 0 0 0 0 0 S 0 0 0 0 0 0 0 0 0 1 1
1 1 1 1 1 1 s s 1 1 1 1 1 1 1 1 1 1 1 1
finish
1 1 n n n n n n n n N n n n n n n 1 1 1
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1
1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 0 1 1 1
1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1
1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1
w 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 e
w 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 e
W 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 e
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 E
1 1 0 0 0 0 0 0 S 0 0 0 0 0 0 0 0 0 1 1
1 1 1 1 1 1 s s 1 1 1 1 1 1 1 1 1 1 1 1
finish
1 1 n n n n n n n N n n n n n n n 1 1 1
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
1 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 1
1 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1
1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1
1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1
1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1
w 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 e
w 0 0 0 0 1 0 1 1 1 1 1 1 1 0 1 0 0 0 e
W 0 0 0 0 1 0 1 1 1 1 1 0 1 0 0 0 0 0 e
1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 E
1 1 0 0 0 1 0 0 S 0 0 0 0 0 0 0 0 0 1 1
1 1 1 1 1 1 s s 1 1 1 1 1 1 1 1 1 1 1 1
finish
